"Character"|"Gender"
"Marinette"|"female"
"Ladybug"|"female"
"Adrien"|"male"
"Hawk Moth"|"male"
"Alya"|"female"
"Chloé"|"female"
"Cat Noir"|"male"
"Shadow Moth"|"male"
"Nadja"|"female"
"Nino"|"male"
"Gabriel"|"male"
"Lila"|"female"
"Alec"|"male"
"Tom"|"male"
"Rose"|"female"
"Mr. Damocles"|"male"
"Roger"|"male"
"Miss Bustier"|"female"
"Nathalie"|"female"
"Kagami"|"female"
"Kim"|"male"
"Plagg"|"neutral"
"Master Fu"|"male"
"Max"|"male"
"Queen Bee"|"female"
"Sabine"|"female"
"Jagged Stone"|"male"
"Juleka"|"female"
"Reflekta"|"female"
"Wayzz"|"neutral"
"André"|"male"
"Captain Hardrock"|"male"
"Félix"|"male"
"King Monkey"|"male"
"Mr. Pigeon"|"male"
"Thomas"|"male"
"Audrey"|"female"
"Lady Wifi"|"female"
"Ms. Mendeleiev"|"female"
"Nathaniel"|"female"
"Princess Fragrance"|"female"
"Zoé"|"female"
"Chris"|"male"
"Gigantitan"|"male"
"Jagged"|"male"
"Mayor Bourgeois"|"male"
"Mylène"|"female"
"Puppeteer"|"female"
"Rena Rouge"|"female"
"Announcer"|"male"
"Bob"|"male"
"Bus driver"|"male"
"Collector"|"male"
"Colonel Woof-Woof"|"male"
"Commercial voice and Marinette"|"neutral"
"Didier Roustan"|"male"
"Fireman"|"male"
"Harry"|"male"
"Ivan"|"male"
"Jean-Pierre"|"male"
"Manon"|"male"
"Markov"|"male"
"Mister Bug"|"male"
"Mr. Bourgeois"|"male"
"Mr. Ramier"|"male"
"Philippe"|"male"
"Rolland"|"male"
"Santa Claus"|"male"
"Scarlet Moth"|"male"
"Simon Says"|"male"
"Simpleman"|"male"
"Soldier"|"male"
"The Collector"|"male"
"The Pharaoh"|"male"
"August's mother"|"female"
"Befana"|"female"
"Clara"|"female"
"Ella and Etta"|"neutral"
"Gina"|"female"
"Marianne"|"female"
"Miracle Queen"|"female"
"Mrs. Tsurugi"|"female"
"Penny"|"female"
"Sabrina"|"female"
"Style Queen"|"female"
"Tikki"|"female"
"Anansi"|"female"
"Anarka"|"female"
"Animan"|"male"
"Antibug"|"female"
"Aquabug"|"female"
"Arlette"|"female"
"Armand"|"male"
"Bakerix"|"male"
"Bubbler"|"male"
"Bunnyx"|"female"
"Carapace"|"male"
"Chameleon"|"female"
"Copycat"|"male"
"Daizzi"|"neutral"
"Darkblade"|"male"
"Despair Bear"|"male"
"Desperada"|"female"
"Guitar Villain"|"male"
"Ikari Gozen"|"female"
"Kung Food"|"male"
"Kwamibuster"|"male"
"Lies"|"female"
"Luka"|"male"
"Malediktator"|"male"
"Marinette and Nino"|"neutral"
"Mayura"|"female"
"Mini-Malediktator"|"male"
"Miraculer"|"female"
"Moolak"|"male"
"Multimouse"|"female"
"Mummies"|"neutral"
"Penalty"|"female"
"Penalty 2"|"female"
"Pennybug"|"female"
"Pixelator"|"male"
"Psycomedian"|"male"
"Reverser"|"female"
"Roaar"|"neutral"
"Robostus"|"neutral"
"Rogercop"|"male"
"Sapoti"|"neutral"
"Sentibubbler"|"male"
"Sole Crusher"|"female"
"Stagehand"|"female"
"Stoneheart"|"male"
"Strikeback"|"male"
"Su-Han"|"male"
"The rest of the Kwamis"|"neutral"
"Timebreaker"|"female"
"Troublemaker"|"female"
"Truth"|"male"
"Vesperia"|"female"
"Wayhem"|"male"
"Wishmaker"|"male"
"Xuppu"|"neutral"
"Zombizou"|"female"
"Alix"|"female"
"Vincent"|"male"
"Viperion"|"male"
"Amelie"|"female"
"Aspik"|"male"
"Backwarder"|"male"
"Cat Blanc"|"male"
"Cat Walker"|"male"
"Dark Owl"|"male"
"Doorman"|"male"
"Dragon Bug"|"female"
"Evillustrator"|"male"
"Flairmidable"|"male"
"Game Voice"|"male"
"Gamer"|"male"
"Gamer 2.0"|"male"
"Glaciator"|"male"
"Jean"|"male"
"Lady Noire"|"female"
"Marc"|"male"
"Nightmare Adrien"|"male"
"Oni-Chan"|"female"
"Penalteam"|"female"
"Prime Queen"|"female"
"Queen Wasp"|"female"
"Riposte"|"female"
"Risk"|"male"
"SandBoy"|"male"
"Santa Claus Claws"|"male"
"Scarabella"|"female"
"Sentimonster Ladybug"|"neutral"
"Silencer"|"male"
"Startrain"|"female"
"Théo"|"male"
"Ticket Inspector"|"male"
"Timetagger"|"male"
"Tomoe"|"female"
"Vanisher"|"female"
"Volpina"|"female"
"Wang Cheng"|"male"
"Wang Fu"|"male"
"XY"|"male"
